date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:41	55820/55820	---M--	200	added ('OK')	application/octet-stream	etag:%225aae0fca-da0c%22	https://colorlib.com/preview/theme/industry/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/Linearicons-Freed41d.eot	(from https://colorlib.com/preview/theme/industry/css/linearicons.css)
23:14:41	21780/21780	---M--	200	added ('OK')	application/font-woff2	etag:%225aae0fce-5514%22	https://colorlib.com/preview/theme/industry/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/Linearicons-Free54e9.woff2	(from https://colorlib.com/preview/theme/industry/css/linearicons.css)
23:14:43	55696/55696	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225aae0fcd-d990%22	https://colorlib.com/preview/theme/industry/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/Linearicons-Free54e9.woff	(from https://colorlib.com/preview/theme/industry/css/linearicons.css)
23:14:43	55620/55620	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225aae0fcc-d944%22	https://colorlib.com/preview/theme/industry/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/Linearicons-Free54e9.ttf	(from https://colorlib.com/preview/theme/industry/css/linearicons.css)
23:14:43	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aae0fcc-32417%22	https://colorlib.com/preview/theme/industry/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/Linearicons-Free54e9.svg	(from https://colorlib.com/preview/theme/industry/css/linearicons.css)
23:14:45	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225aae0fb2-2876e%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:45	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%225aae0fb2-2876e%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:46	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%225aae0fc8-12d68%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:48	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225aae0fc4-17ee8%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:49	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225aae0fc3-286ac%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:49	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aae0fc1-6d24a%22	https://colorlib.com/preview/theme/industry/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/fonts/fontawesome-webfont3e6e.svg	(from https://colorlib.com/preview/theme/industry/css/font-awesome.min.css)
23:14:49	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Aug%202020%2022:14:50%20GMT	https://colorlib.com/preview/theme/industry/css/owl.video.play.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/css/owl.video.play.png	(from https://colorlib.com/preview/theme/industry/css/owl.carousel.css)
23:14:50	1661/1661	---M--	200	added ('OK')	image/png	etag:%225aae1175-67d%22	https://colorlib.com/preview/theme/industry/img/elements/primary-check.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/primary-check.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
23:14:51	1205/1205	---M--	200	added ('OK')	image/png	etag:%225aae1176-4b5%22	https://colorlib.com/preview/theme/industry/img/elements/success-check.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/success-check.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
23:14:51	1249/1249	---M--	200	added ('OK')	image/png	etag:%225aae1154-4e1%22	https://colorlib.com/preview/theme/industry/img/elements/disabled-check.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/disabled-check.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
23:14:52	1284/1284	---M--	200	added ('OK')	image/png	etag:%225aae1175-504%22	https://colorlib.com/preview/theme/industry/img/elements/primary-radio.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/primary-radio.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
23:14:52	1209/1209	---M--	200	added ('OK')	image/png	etag:%225aae1176-4b9%22	https://colorlib.com/preview/theme/industry/img/elements/success-radio.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/success-radio.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
23:14:53	1173/1173	---M--	200	added ('OK')	image/png	etag:%225aae115a-495%22	https://colorlib.com/preview/theme/industry/img/elements/disabled-radio.png	C:/My%20Web%20Sites/ESSPLUS/colorlib.com/preview/theme/industry/img/elements/disabled-radio.png	(from https://colorlib.com/preview/theme/industry/css/main.css)
